Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
Rose Hill Marple,1589,"26,895","26,157",,,Full,,,Part,Part,
South Milford,1590,"26,853","26,105",,,No,จน,,None,Part,
Swinton,1591,"26,781","27,364",3,,No,,,Part,None,
Langley Green,1592,"26,670","26,885",,,Full,,,Full,Part,
Leytonstone H Rd,1593,"26,641","33,579",,,No,จน,,None,Part,
Godstone,1594,"26,617","27,581",,,Part,,,None,Unknown,
Market Rasen,1595,"26,610","29,158",,,Full,,จน,None,Part,
Carmyle,1596,"26,581","29,990",,,Full,จน,,None,Part,
Eccles,1597,"26,484","26,747",,,No,,,Part,None,
Wanborough,1598,"26,460","26,285",,,Part,จน,จน,None,Part,
Glas Crookston,1599,"26,459","33,215",,,Full,จน,,None,Part,
Northfleet,1600,"26,373","30,263",,,Part,จน,จน,Part,Part,
Kilpatrick,1601,"26,346","30,300",,,Full,จน,,None,Part,
Dumbreck,1602,"26,335","32,986",,,Full,จน,,None,Part,
Earlswood W Midlands,1603,"26,311","27,512",,,Full,,,None,Part,
Harrietsham,1604,"26,271","27,120",,,Part,,,Part,None,
Insch,1605,"26,252","27,073",,,Part,,,None,None,
Denby Dale,1606,"26,216","27,514",,,No,จน,,None,Part,
Mosspark,1607,"26,047","29,347",,,Full,จน,,None,Part,
Canley,1608,"25,987","26,461",,,Part,,,Full,Part,
Brinnington,1609,"25,953","25,024",,,Full,,,Part,Part,
WHITCHURCH (SHROPSHIRE),1610,"25,945","27,208",,,Full,,,None,Part,
Conisbrough,1611,"25,907","25,685",,,Full,จน,,None,Part,
Dawlish Warren,1612,"25,885","29,390",,,Full,,,None,Part,
Capenhurst,1613,"25,753","30,438",,,Part,,,None,None,
Colne,1614,"25,680","25,192",,,Full,จน,,None,Part,
Bicester Town,1615,"25,599","26,599",,,Full,จน,,None,Part,
Hall Road,1616,"25,505","24,872",,,Part,จน,,Full,Part,
Holytown,1617,"25,428","27,592",,,Full,จน,,None,Part,
Ashburys,1618,"25,359","25,919",,,No,,,None,None,
Feniton,1619,"25,354","24,278",,,Part,จน,จน,Part,Part,
Selling,1620,"25,272","26,454",,,Part,,,None,Unknown,
Pershore,1621,"25,192","25,757",,,Full,จน,,None,Part,
Penryn,1622,"25,085","26,849",,,Full,จน,,None,Part,
Newbury Racecourse,1623,"24,968","25,236",,,Part,จน,จน,None,Part,
Bache,1624,"24,848","25,627",,,Part,,,None,None,
Heckington,1625,"24,818","27,134",,,Full,,,None,Part,
Disley,1626,"24,805","24,470",,,Full,จน,,Part,Part,
Redland,1627,"24,779","25,514",,,Full,จน,,None,Part,
Cam & Dursley,1628,"24,772","25,762",,,Full,,,None,Part,
Barton On Humber,1629,"24,663","24,892",,,Full,จน,,None,Part,
Alresford (Essex),1630,"24,610","24,826",,,Part,จน,จน,Full,Part,
Shawford,1631,"24,594","24,547",,,No,จน,จน,None,Part,
Lockerbie,1632,"24,549","26,738",,,Part,จน,,Full,Part,
Adisham,1633,"24,509","24,732",,,Part,,,None,Unknown,
Saunderton,1634,"24,502","24,895",,,Insufficient info provided by station operator,จน,,None,Part,
Duddeston,1635,"24,362","24,731",,,Full,,,Full,Part,
Woodgrange Park,1636,"24,328","27,992",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Haltwhistle,1637,"24,319","24,571",,,Full,จน,จน,None,Part,
Wateringbury,1638,"24,313","26,286",,,No,,,None,None,
St Helier,1639,"24,236","24,786",,,No,จน,,None,Part,
Ashchurch,1640,"24,218","24,962",,,Full,จน,,None,Part,
Wanstead Park,1641,"24,123","28,354",,,No,จน,,None,Part,
Dinas Mid Glam,1642,"24,076","25,222",,,Full,,,None,Part,
silvertown,1643,"24,068","25,260",,,Full,จน,,Part,Part,
Bat & Ball,1644,"23,854","30,057",,,Part,,,None,Unknown,
Prestwick Int Ap,1645,"23,763","45,337",,,Full,,,None,Part,
Stranraer,1646,"23,760","24,161",,,Full,จน,,Full,Part,
Bank Hall,1647,"23,704","27,773",,,No,จน,,Full,Part,
Appleby,1648,"23,627","23,977",,,Full,จน,,Part,Part,
Barrow Haven,1649,"23,621","23,508",,,No,จน,,None,Part,
Stocksfield,1650,"23,563","26,913",,,Full,จน,จน,None,Part,
Brundall,1651,"23,542","26,840",,,Part,,จน,None,Part,
Sankey,1652,"23,531","23,099",,,Full,จน,,Part,Part,
Penrhiwceiber,1653,"23,489","25,088",,,Full,,,None,Part,
Alexandra Parade,1654,"23,319","24,709",,,No,จน,,None,Part,
Bures,1655,"23,180","23,553",,,Part,จน,จน,None,Part,
Chinley,1656,"23,158","24,159",,,No,,,None,None,
Failsworth,1657,"23,152","24,815",,,No,,,None,None,
Foxton,1658,"22,997","25,877",,,Full,จน,,None,Part,
Exeter St Thomas,1659,"22,951","22,730",,,No,จน,,None,Part,
Dinting,1660,"22,934","22,944",,,Full,,,Part,Part,
Corbridge,1661,"22,901","26,024",,,No,จน,,None,Part,
Polsloe Bridge,1662,"22,782","23,097",,,No,จน,จน,None,Part,
Overpool,1663,"22,739","30,165",,,Part,,,None,None,
Albrighton,1664,"22,719","23,099",,,No,,,None,None,
Ham Street,1665,"22,655","24,888",,,Full,จน,จน,Part,Part,
Marske,1666,"22,633","25,084",,,Full,,,None,Part,
Caldicot,1667,"22,504","24,217",,,Full,,,None,Part,
Dore,1668,"22,488","22,996",,,Full,จน,,None,Part,
Woburn Sands,1669,"22,466","23,277",,,Full,จน,,None,Part,
Bricket Wood,1670,"22,423","24,207",,,Full,จน,,None,Part,
Greenfauld,1671,"22,218","21,002",,,Full,จน,,None,Part,
Allens West,1672,"22,174","23,023",,,Full,,,None,Part,
Epsom Downs,1673,"22,163","22,067",,,Full,,,None,Part,
Lochwinnoch,1674,"22,124","26,981",,,Part,จน,,None,Part,
Micheldever,1675,"22,008","23,363",,,No,จน,จน,Part,Part,
Thurnscoe,1676,"21,933","22,824",,,Full,จน,,None,Part,
Wymondham,1677,"21,804","22,492",,,Part,,,None,None,
Maybole,1678,"21,784","19,042",,,Full,จน,,None,Part,
Carnoustie,1679,"21,755","21,821",,,Full,,,None,Part,
Quakers Yard,1680,"21,722","23,275",,,Full,,,None,Part,
Askam,1681,"21,556","23,353",,,No,,,None,None,
South Wigston,1682,"21,499","21,869",,,Full,,,None,Part,
Halling,1683,"21,431","22,692",,,Part,,,None,None,
Llandrindod,1684,"21,394","20,189",,,Full,,,Part,Part,
Flixton,1685,"21,371","21,987",,,Full,,,Part,Part,
Danescourt,1686,"21,362","21,591",,,Full,,,None,Part,
Hampton In Arden,1687,"21,322","21,657",,,Part,,,Full,Part,
Aldermaston,1688,"21,141","22,778",,,Full,จน,,None,Part,
Stockton,1689,"21,120","22,992",,,Full,จน,จน,None,Part,
Porthmadog,1690,"21,028","20,557",,,Full,,,None,Part,
Birchgrove,1691,"20,962","21,134",,,Full,,,None,Part,
Eaglescliffe,1692,"20,936","23,357",,,Full,จน,,None,Part,
Cleland,1693,"20,907","23,072",,,Part,จน,,None,Part,
Landywood,1694,"20,903","21,261",,,Full,,,None,Part,
Dunton Green,1695,"20,855","22,862",,,No,,จน,None,Part,
Airbles,1696,"20,799","20,346",,,Full,จน,,None,Part,
Cressing,1697,"20,768","23,049",,,Part,จน,จน,None,Part,
Avonmouth,1698,"20,723","19,366",,,Full,,จน,None,Part,
Colwall,1699,"20,716","23,072",,,Full,,,None,Part,
Nutbourne,1700,"20,698","22,730",,,Full,จน,,None,Part,
Althorne (Essex),1701,"20,696","21,481",,,Part,จน,จน,None,Part,
Orrell,1702,"20,627","18,905",,,No,,,None,None,
Cramlington,1703,"20,613","20,273",,,Full,จน,,None,Part,
Milford Haven,1704,"20,548","20,260",,,Full,,,None,Part,
Moston,1705,"20,531","20,988",,,Full,,,None,Part,
Heath Low Level,1706,"20,479","19,423",,,Full,,,None,Part,
Dalmarnock,1707,"20,445","21,750",,,No,จน,,Full,Part,
Langbank,1708,"20,441","24,964",,,Full,จน,,None,Part,
Nantwich,1709,"20,407","21,004",,,Full,,,None,Part,
Bingham,1710,"20,383","20,655",,,Part,,,None,None,
Penkridge,1711,"20,103","21,541",,,Full,,,None,Part,
Weeton,1712,"19,939","23,818",,,No,,,None,None,
Croston,1713,"19,938","19,762",,,Full,จน,,None,Part,
Lostwithiel,1714,"19,936","20,765",,,Full,จน,,None,Part,
New Hythe,1715,"19,916","19,585",,,No,,,None,None,
Pollokshaws West,1716,"19,914","24,563",,,No,จน,,None,Part,
Warblington,1717,"19,905","21,073",,,No,จน,,Part,Part,
Glenrothes with Thornton,1718,"19,860","20,464",,,Full,จน,,None,Part,
Shepreth,1719,"19,834","22,162",,,Full,จน,,None,Part,
Barnetby,1720,"19,789","20,262",,,Full,จน,,None,Part,
Edale,1721,"19,736","20,686",,,Full,,,None,Part,
Castle Bar Park,1722,"19,657","21,021",,,Part,จน,,Part,Part,
Tutbury & Hatton,1723,"19,656","20,058",,,Full,,,None,Part,
Church Fenton,1724,"19,653","20,717",,,No,จน,,None,Part,
Brighouse,1725,"19,646","21,337",,,Full,จน,,None,Part,
Pyle,1726,"19,603","20,578",,,Full,,,None,Part,
South Merton,1727,"19,548","18,223",,,No,จน,,None,Part,
Gunnislake,1728,"19,531","19,478",,,Full,จน,,None,Part,
Fairbourne,1729,"19,402","19,521",,,No,,,None,None,
Creswell,1730,"19,321","18,609",,,Full,,,None,Part,
Helsby,1731,"19,280","20,254",,,Part,,,None,None,
Shirehampton,1732,"19,274","18,289",,,Full,จน,,None,Part,
Cuddington,1733,"19,257","18,985",,,No,,,None,None,
Crowhurst,1734,"19,240","19,882",,,Part,,,Part,Unknown,
Newstead,1735,"19,173","17,169",,,Full,,จน,None,Part,
Thurso,1736,"19,100","19,012",,,Full,,,Full,Part,
